YEAR,WEEKDAY,PRICE
2012,Sunday,89
2012,Sunday,89
2012,Sunday,89
2012,Sunday,90
2012,Sunday,90
2012,Sunday,90
2012,Sunday,90
2012,Sunday,90
2012,Sunday,91
2012,Sunday,91
2012,Sunday,91
2012,Sunday,92
2012,Sunday,92
2012,Sunday,92
2012,Sunday,93
2012,Sunday,93
2012,Sunday,93
2012,Sunday,93
2012,Sunday,93
2012,Sunday,93
2012,Sunday,94
2012,Sunday,94
2012,Sunday,95
2012,Sunday,95
2012,Sunday,96
2012,Sunday,97
2012,Sunday,98
2012,Sunday,99
2012,Sunday,99
2012,Sunday,101
2012,Sunday,101
2012,Sunday,101
2012,Sunday,102
2012,Sunday,102
2012,Sunday,102
2012,Sunday,106
2012,Sunday,114
2012,Sunday,115
2012,Sunday,117
2012,Sunday,117
2012,Sunday,118
2012,Sunday,119
2012,Sunday,124
2012,Sunday,125
2012,Sunday,133
2012,Sunday,134
2012,Sunday,139
2013,Monday,86
2013,Monday,87
2013,Monday,89
2013,Monday,89
2013,Monday,89
2013,Monday,93
2013,Monday,93
2013,Monday,93
2013,Monday,93
2013,Monday,93
2013,Monday,94
2013,Monday,94
2013,Monday,94
2013,Monday,94
2013,Monday,94
2013,Monday,95
2013,Monday,96
2013,Monday,96
2013,Monday,96
2013,Monday,97
2013,Monday,98
2013,Monday,98
2013,Monday,99
2013,Monday,99
2013,Monday,101
2013,Monday,102
2013,Monday,102
2013,Monday,102
2013,Monday,103
2013,Monday,103
2013,Monday,103
2013,Monday,103
2013,Monday,104
2013,Monday,105
2013,Monday,105
2013,Monday,106
2013,Monday,107
2013,Monday,107
2013,Monday,108
2013,Monday,109
2013,Monday,110
2013,Monday,114
2013,Monday,115
2013,Monday,115
2013,Monday,117
2013,Monday,120
2013,Monday,125
2013,Monday,131
2013,Monday,132
2013,Monday,132
2013,Monday,139
2013,Monday,144
2013,Tuesday,88
2013,Tuesday,89
2013,Tuesday,90
2013,Tuesday,90
2013,Tuesday,92
2013,Tuesday,92
2013,Tuesday,92
2013,Tuesday,93
2013,Tuesday,93
2013,Tuesday,93
2013,Tuesday,93
2013,Tuesday,94
2013,Tuesday,94
2013,Tuesday,96
2013,Tuesday,97
2013,Tuesday,98
2013,Tuesday,98
2013,Tuesday,99
2013,Tuesday,99
2013,Tuesday,100
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,101
2013,Tuesday,102
2013,Tuesday,102
2013,Tuesday,102
2013,Tuesday,103
2013,Tuesday,104
2013,Tuesday,104
2013,Tuesday,105
2013,Tuesday,107
2013,Tuesday,108
2013,Tuesday,109
2013,Tuesday,109
2013,Tuesday,110
2013,Tuesday,110
2013,Tuesday,112
2013,Tuesday,113
2013,Tuesday,113
2013,Tuesday,113
2013,Tuesday,117
2013,Tuesday,123
2013,Tuesday,130
2013,Tuesday,132
2013,Tuesday,134
2013,Tuesday,134
2013,Tuesday,135
2013,Tuesday,143
2013,Wednesday,90
2013,Wednesday,91
2013,Wednesday,92
2013,Wednesday,92
2013,Wednesday,93
2013,Wednesday,93
2013,Wednesday,94
2013,Wednesday,94
2013,Wednesday,95
2013,Wednesday,95
2013,Wednesday,95
2013,Wednesday,95
2013,Wednesday,96
2013,Wednesday,96
2013,Wednesday,96
2013,Wednesday,97
2013,Wednesday,97
2013,Wednesday,98
2013,Wednesday,98
2013,Wednesday,98
2013,Wednesday,99
2013,Wednesday,99
2013,Wednesday,99
2013,Wednesday,100
2013,Wednesday,100
2013,Wednesday,101
2013,Wednesday,101
