YEAR,DATE,PRICE
2012,2012-09-23,93
2012,2012-09-24,91
2012,2012-09-25,88
2012,2012-09-26,92
2012,2012-09-27,90
2012,2012-09-28,91
2012,2012-09-29,88
2012,2012-09-30,84
2012,2012-10-01,100
2012,2012-10-02,99
2012,2012-10-03,92
2012,2012-10-04,90
2012,2012-10-05,94
2012,2012-10-06,90
2012,2012-10-07,90
2012,2012-10-08,86
2012,2012-10-09,90
2012,2012-10-10,102
2012,2012-10-11,88
2012,2012-10-12,90
2012,2012-10-13,92
2012,2012-10-14,83
2012,2012-10-15,87
2012,2012-10-16,89
2012,2012-10-17,85
2012,2012-10-18,83
2012,2012-10-19,87
2012,2012-10-20,90
2012,2012-10-21,92
2012,2012-10-22,90
2012,2012-10-23,88
2012,2012-10-24,89
2012,2012-10-25,82
2012,2012-10-26,93
2012,2012-10-27,91
2012,2012-10-28,88
2012,2012-10-29,85
2012,2012-10-30,92
2012,2012-10-31,95
2012,2012-11-01,88
2012,2012-11-02,95
2012,2012-11-03,90
2012,2012-11-04,90
2012,2012-11-05,94
2012,2012-11-06,88
2012,2012-11-07,85
2012,2012-11-08,94
2012,2012-11-09,90
2012,2012-11-10,88
2012,2012-11-11,83
2012,2012-11-12,87
2012,2012-11-13,84
2012,2012-11-14,97
2012,2012-11-15,85
2012,2012-11-16,92
2012,2012-11-17,93
2012,2012-11-18,83
2012,2012-11-19,85
2012,2012-11-20,84
2012,2012-11-21,87
2012,2012-11-22,85
2012,2012-11-23,89
2012,2012-11-24,91
2012,2012-11-25,88
2012,2012-11-26,87
2012,2012-11-27,86
2012,2012-11-28,82
2012,2012-11-29,89
2012,2012-11-30,94
2012,2012-12-01,90
2012,2012-12-02,95
2012,2012-12-03,87
2012,2012-12-04,85
2012,2012-12-05,82
2012,2012-12-06,88
2012,2012-12-07,91
2012,2012-12-08,93
2012,2012-12-09,85
2012,2012-12-10,84
2012,2012-12-11,86
2012,2012-12-12,90
2012,2012-12-13,81
2012,2012-12-14,90
2012,2012-12-15,94
2012,2012-12-16,85
2012,2012-12-17,81
2012,2012-12-18,85
2012,2012-12-19,91
2012,2012-12-20,85
2012,2012-12-21,88
2012,2012-12-22,89
2012,2012-12-23,89
2012,2012-12-24,84
2012,2012-12-25,83
2012,2012-12-26,88
2012,2012-12-27,88
2012,2012-12-28,98
2012,2012-12-29,92
2012,2012-12-30,102
2012,2012-12-31,96
2013,2013-01-01,100
2013,2013-01-02,95
2013,2013-01-03,93
2013,2013-01-04,98
2013,2013-01-05,100
2013,2013-01-06,93
2013,2013-01-07,93
2013,2013-01-08,93
2013,2013-01-09,92
2013,2013-01-10,94
2013,2013-01-11,96
2013,2013-01-12,106
2013,2013-01-13,103
2013,2013-01-14,101
2013,2013-01-15,99
2013,2013-01-16,90
2013,2013-01-17,100
2013,2013-01-18,102
2013,2013-01-19,102
2013,2013-01-20,99
2013,2013-01-21,104
2013,2013-01-22,97
2013,2013-01-23,100
2013,2013-01-24,104
2013,2013-01-25,101
2013,2013-01-26,105
2013,2013-01-27,103
2013,2013-01-28,101
2013,2013-01-29,99
2013,2013-01-30,102
2013,2013-01-31,99
2013,2013-02-01,108
2013,2013-02-02,111
2013,2013-02-03,114
2013,2013-02-04,110
2013,2013-02-05,108
2013,2013-02-06,103
2013,2013-02-07,106
2013,2013-02-08,110
2013,2013-02-09,111
2013,2013-02-10,117
2013,2013-02-11,113
2013,2013-02-12,115
2013,2013-02-13,116
2013,2013-02-14,122
2013,2013-02-15,128
2013,2013-02-16,122
2013,2013-02-17,132
2013,2013-02-18,132
2013,2013-02-19,118
2013,2013-02-20,110
2013,2013-02-21,134
2013,2013-02-22,124
2013,2013-02-23,129
2013,2013-02-24,131
2013,2013-02-25,134
2013,2013-02-26,131
2013,2013-02-27,129
2013,2013-02-28,130
2013,2013-03-01,138
2013,2013-03-02,134
2013,2013-03-03,125
2013,2013-03-04,135
2013,2013-03-05,131
2013,2013-03-06,135
2013,2013-03-07,140
2013,2013-03-08,147
2013,2013-03-09,142
2013,2013-03-10,139
2013,2013-03-11,130
2013,2013-03-12,140
2013,2013-03-13,137
2013,2013-03-14,139
2013,2013-03-15,144
2013,2013-03-16,152
2013,2013-03-17,144
2013,2013-03-18,143
2013,2013-03-19,137
2013,2013-03-20,138
2013,2013-03-21,144
2013,2013-03-22,157
2013,2013-03-23,141
2013,2013-03-24,132
2013,2013-03-25,134
2013,2013-03-26,136
2013,2013-03-27,132
2013,2013-03-28,124
2013,2013-03-29,124
2013,2013-03-30,120
